Год,"Грузооборот по видам транспорта по РФ, млрд тонно-км","Пассажирооборот по видам транспорта общего пользования по РФ, млрд пассажиро-км","Перевозки грузов по видам транспорта по РФ, млн тонн","Перевозки пассажиров по видам транспорта общего пользования по РФ, млн человек","Протяженность автомобильных дорог с твердым покрытием, тыс.км","Протяженность автомобильных дорог общего пользования РФ, тыс.км","Эксплуатационная длина железнодорожных путей общего пользования РФ, тыс.км"
2005,4675.5,473.2,9167.1,30122.0,560.6,581.0,85.2
2006,4799.7,476.4,9300.7,26640.3,597.3,701.1,85.2
2007,4915.2,497.2,9450.6,25307.0,624.2,747.5,85.2
2008,4948.3,512.1,9451.1,24950.2,629.1,754.1,85.6
2009,4446.3,463.9,7469.4,22844.0,646.9,792.7,85.6
2010,4751.7,483.7,7750.4,22034.5,664.6,825.0,85.7
2011,4914.5,502.5,8337.1,21886.6,727.7,927.3,85.5
2012,5055.5,532.2,8519.3,21340.8,925.2,1278.3,85.6
2013,5083.7,547.0,8264.5,19620.8,985.4,1396.5,85.6
2014,5080.0,556.0,8006.5,19536.3,1023.8,1451.2,86.3
2015,5108.1,529.7,7898.0,19095.2,1045.5,1480.5,86.3
2016,5198.4,519.3,7953.6,18645.1,1053.7,1498.5,86.4
2017,5488.0,560.1,8072.6,18439.0,1064.0,1507.8,86.5
2018,5635.5,593.6,8265.1,18113.4,1077.5,1531.6,86.6
2019,5678.3,635.1,8425.7,17826.1,1089.3,1542.2,87.0
2020,5401.1,357.1,7959.7,12492.8,1096.7,1553.7,87.0
2021,5712.8,492.8,8262.4,13695.8,1107.5,1566.1,87.0
2022,5582.1,508.3,8779.4,14436.9,1114.7,1575.3,87.0
2023,5550.9,564.0,9059.3,15177.5,1124.5,1579.9,87.0
2024,5579.0,599.4,9285.6,15682.1,1130.0,1583.2,87.0
